,timestamp,blocktime,hashrate,median_single_trans,fee_percent_in_reward,fees,price,total_send_usd,transaction_number,diff
49,2016-02-19,0.285,800295691793.0,5.004,0.0978,0.00712,4.44,5292931.0,16714.0,12814163599943.0
50,2016-02-20,0.285,808846880926.0,5.185,0.101,0.00728,4.43,2113358.0,17119.0,12958930145498.0
51,2016-02-21,0.282,844642383440.0,5.735,0.117,0.0092,5.143,4137084.0,18190.0,13431503887479.0
52,2016-02-22,0.29,849490910313.0,6.424,0.343,0.0289,5.682,8808118.0,18482.0,13783585059878.0
53,2016-02-23,0.286,846587713730.0,6.402,0.189,0.0155,5.812,12175073.0,19540.0,13623470026221.0
54,2016-02-24,0.281,855874001111.0,6.935,0.114,0.0102,6.275,5789909.0,19503.0,13573804476023.0
55,2016-02-25,0.285,881651031093.0,6.329,0.184,0.0145,5.988,24020684.0,21068.0,14049401938205.0
56,2016-02-26,0.288,896853524619.0,6.839,0.105,0.0093,6.222,13518657.0,18981.0,14564934405736.0
57,2016-02-27,0.286,915812758040.0,7.431,0.107,0.00993,6.445,5022946.0,19063.0,14737238949086.0
58,2016-02-28,0.299,885965041543.0,7.29,0.126,0.0104,6.42,4567959.0,20358.0,14936560617533.0
59,2016-02-29,0.285,900562920443.0,7.82,0.123,0.0105,6.748,8797310.0,21778.0,14453452049416.0
60,2016-03-01,0.283,939133918966.0,8.957,0.139,0.0132,7.982,28725793.0,23562.0,14989908705152.0
61,2016-03-02,0.287,957272847075.0,10.375,0.131,0.0132,9.246,19402840.0,24837.0,15598739569340.0
62,2016-03-03,0.288,982821086060.0,10.143,0.126,0.0129,9.258,13990865.0,24287.0,16140974830922.0
63,2016-03-04,0.28,1030054717986.0,13.827,0.124,0.0139,11.14,31902335.0,27115.0,16473095997037.0
64,2016-03-05,0.293,1036733655665.0,11.914,0.143,0.0151,11.11,17921431.0,27661.0,17342300214193.0
65,2016-03-06,0.287,1047340044431.0,11.423,0.113,0.0135,10.33,15278493.0,23271.0,17164269285635.0
66,2016-03-07,0.287,1060230669041.0,10.439,0.118,0.0133,9.6,20610831.0,24105.0,17491910018497.0
67,2016-03-08,0.289,1080955371409.0,11.334,0.0984,0.0112,10.567,11886272.0,24557.0,17866774613765.0
68,2016-03-09,0.277,1124356306383.0,14.029,0.0751,0.00954,11.633,9973219.0,24814.0,18006278290287.0
69,2016-03-10,0.284,1152216595865.0,11.562,0.0719,0.00924,11.098,10437709.0,23124.0,18682021537567.0
70,2016-03-11,0.287,1215700099243.0,14.599,0.0903,0.0112,12.907,19711592.0,27887.0,19654913106689.0
